sequence,event_id,ledger_id,timestamp,protocol_version,record_type,scenario,approach,mode,transaction_id,client_id,version,template,dataset_version,dataset_commitment,data_summary_hash,evidence_bundle_hash,evidence_bundle_artifact_hash,evidence_bundle_artifact_relpath,validator_version,rubric_version,governance_policy_version,evidence_manifest_hash,evidence_hash,data_manifest_hash,data_manifest_validation_hash,metadata_validation_status,dimension_scores,final_governance_values_hash,pscore,policy_profile_id,hps_accept_threshold,hps_reject_threshold,critical_profile_direct_threshold,critical_profile_review_threshold,critical_profile_threshold_applied,critical_profile_threshold_name,critical_dimension_threshold,critical_dimensions,critical_hps,critical_dimension_min,arq_boundary_policy,arq_region,review_policy_id,review_recommendation,review_reason_code,review_reason_text,governance_archetype,risk_archetype,initial_action,final_action,action,review_outcome,manual_review_required,manual_review_disposition,safe_default_applied,current_session_eligibility,reassessment_eligibility,n_samples,position,percentile,cia_confidentiality,cia_integrity,cia_availability,cia_high_water,business_impact,client_required_security_class,client_required_security_tier,security_class,security_tier,computed_strictest_security_class,computed_strictest_security_tier,current_survivor_strictest_class,current_survivor_strictest_tier,session_locked_security_class,session_locked_security_tier,session_profile_locked,admission_receipt_hash,admission_receipt_signature_hash,admission_receipt_artifact_hash,admission_receipt_artifact_relpath,admission_expires_at,session_id,session_epoch,parent_session_id,parent_session_security_decision_hash,session_reform_reason,session_security_decision_hash,session_security_decision_signature_hash,session_decision_artifact_hash,session_decision_artifact_relpath,session_decision_expires_at,risk_assessment_hash,revocation_status,execution_mode,requested_benchmark_tier,round_id,event_status,verification_stage,violation_type,reason_code,violation_details,signature_verified,freshness_verified,pofc_verified,semantic_verified,rate_limit_ok,blocked_before_aggregation,payload_hash,envelope_hash,key_id,signature_hash,global_model_hash,model_schema_hash,crypto_mechanism,crypto_backend,parameter_set_id,key_tag,expanded,ks_applied,shares_available,shares_required,can_finalize,comm_factor,crypto_overhead_ms,noise_std,ciphertext_commitment,evaluation_key_commitment,ciphertext_attestation_artifact_hash,ciphertext_attestation_artifact_relpath,submission_artifact_hash,submission_artifact_relpath,artifact_type,artifact_id,artifact_hash,artifact_relpath,local_ledger_id,local_event_hash,local_ledger_head_hash,crypto_ledger_id,crypto_event_hash,crypto_ledger_head_hash,subledger_manifest_hash,subledger_seal_count,prev_hash,row_hash,bundle_hash,checkpoint_signature
1,79ec1a7d2fc6ea3cac68dd7ea8d1f9bc,9e83915f1ec66ff08284fe9f21cbdaf4a23206ff439cffb8cf5750f1baa4d781,2026-08-14T10:05:22.309817+00:00,TADP-SEC/11.7,CLIENT_ACCEPTED_SUBMISSION,T1_Plain_TADP,,,,client_005,,,,,,,,,,,2.2-phase1-fixed-threshold-dual-critical-profile,8c9f9e340707a5cae92bf2155fa9f7c34a2a1a747777ef6d2d979b5067681037,82bd144eaa631526b728a623990937990d755cb87428b374a2111baf69f1fcb0,48280d24f69fe292e0f2ea36af2973499e4cdae8c2269acb1ec764678b69ce25,0fe2096c61042b75044c1fcaacbaf10e4df153a989e7d601441b14c9883cc548,VALIDATED_EVIDENCE_BUNDLE,,,,,,,,,,,,,,,,,,,,,,,,,UPDATE_SUBMITTED_ENFORCED,,False,NOT_REQUIRED_AUTOMATED_POLICY,False,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,6426009cb58b9abc58c496b9502ce2042d7129a6691282ae176da96402b111e6,324394ff1e963a2298a104ba69271c7a0d035b0368a4ead2740079c2c8d8538f,,,2026-08-15T09:15:27.359823+00:00,5150b4b75b7f6ce3b016fcb7a93c8d0a,,,,,044cd77c1f4a025145291edfd291a56f2d92a033e2e35c3c1d0fba18b86c8963,6feaa460f3b005d241338e38b5cf20aaf4c2f4560945448d636bffdf3a9e71db,,,2026-08-14T11:05:21.979775+00:00,fde286833f93903f2613114b99a7a6c639f0f4ab617f792fb935e1fae2275ec0,active,,,1,ACCEPTED,ALL_BASELINE_CONTROLS,,,,True,True,True,True,True,False,J4zhx98++G75Z3tGwVD9/EALqDSPibyZlC9tbX322Zk=,c96e10c713c25e80171b6b569765647b7064be581dd941bb1eed2549211681c1,TC85w7Y+C0xa4teRmQmvLRDSdm9WotXZEJSLhGbEdGU=,91a75c695359cc34f9c1667f1909a15777d3da204ece683dc09119ac39c3010f,QMH+Ff47Wvvh3Nq05m8N3gkvH6NvqRIWySpBF6qE02s=,531a86dc685ec70c3ba63eacbcf5e61399d30d10a268196e695f5a8d50c69157,,,,,,,,,,,,,,,,,574d84896bd9c3e3d98a8b3f875e009b6493ec8d3a6aec12def77d9f471070e4,audit_trails/artifacts/accepted_runtime_submissions/T1_Plain_TADP_client_005_r1_c96e10c713c25e80__574d84896bd9c3e3.json,,,,,,,,,,,,,208816160026b839c76dce76fe3a36cdad7f4599f4be6dacc5563e1dfedc1aaf,58bc17ccc78b28708e484dc1fd816051ae6e906249dabb63b0dd624ad63cdca4,,
2,fb9cf862f7504bf433947361dd66c03d,9e83915f1ec66ff08284fe9f21cbdaf4a23206ff439cffb8cf5750f1baa4d781,2026-08-14T10:05:22.329366+00:00,TADP-SEC/11.7,CLIENT_CIPHERTEXT_BINDING,T1_Plain_TADP,,,,client_005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIPHERTEXT_BOUND_TO_SIGNED_UPDATE,,,,,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,,,,,,5150b4b75b7f6ce3b016fcb7a93c8d0a,,,,,,,,,,,,,,1,VERIFIED,,,,,True,,,,,False,J4zhx98++G75Z3tGwVD9/EALqDSPibyZlC9tbX322Zk=,c96e10c713c25e80171b6b569765647b7064be581dd941bb1eed2549211681c1,TC85w7Y+C0xa4teRmQmvLRDSdm9WotXZEJSLhGbEdGU=,d67fadaad01b9f672b43efe93d4be4501828fa3c7e071cf74439e6aeec6ddbe8,QMH+Ff47Wvvh3Nq05m8N3gkvH6NvqRIWySpBF6qE02s=,531a86dc685ec70c3ba63eacbcf5e61399d30d10a268196e695f5a8d50c69157,plaintext_update_no_noise,reference_python,n=|logq=|scale=|scheme=plain,plain,,,,,,,,,eab5ee79fead803d3b0d27abf8fd3ce5a325bf0e4be80d0a686acadf046b7bcd,,488b92672113786a12de9c82a08bcab332c4a4d297d5e3f0d99a11eb78e90137,audit_trails/artifacts/ciphertext_attestations/T1_Plain_TADP_client_005_r1_f3e37e2a2e3bc961__488b92672113786a.json,,,,,,,,,,,,,,,58bc17ccc78b28708e484dc1fd816051ae6e906249dabb63b0dd624ad63cdca4,620b6c0fcc5b391012c9e1250eeb8a592cd4e8e56a3e0347a37c73e55d922ccf,,
3,4a2b6cb9c5d8a8100bfcbf80fd58c5f5,9e83915f1ec66ff08284fe9f21cbdaf4a23206ff439cffb8cf5750f1baa4d781,2026-08-14T10:05:23.376530+00:00,TADP-SEC/11.7,CLIENT_ACCEPTED_SUBMISSION,T1_Plain_TADP,,,,client_005,,,,,,,,,,,2.2-phase1-fixed-threshold-dual-critical-profile,8c9f9e340707a5cae92bf2155fa9f7c34a2a1a747777ef6d2d979b5067681037,82bd144eaa631526b728a623990937990d755cb87428b374a2111baf69f1fcb0,48280d24f69fe292e0f2ea36af2973499e4cdae8c2269acb1ec764678b69ce25,0fe2096c61042b75044c1fcaacbaf10e4df153a989e7d601441b14c9883cc548,VALIDATED_EVIDENCE_BUNDLE,,,,,,,,,,,,,,,,,,,,,,,,,UPDATE_SUBMITTED_ENFORCED,,False,NOT_REQUIRED_AUTOMATED_POLICY,False,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,6426009cb58b9abc58c496b9502ce2042d7129a6691282ae176da96402b111e6,324394ff1e963a2298a104ba69271c7a0d035b0368a4ead2740079c2c8d8538f,,,2026-08-15T09:15:27.359823+00:00,5150b4b75b7f6ce3b016fcb7a93c8d0a,,,,,044cd77c1f4a025145291edfd291a56f2d92a033e2e35c3c1d0fba18b86c8963,6feaa460f3b005d241338e38b5cf20aaf4c2f4560945448d636bffdf3a9e71db,,,2026-08-14T11:05:21.979775+00:00,fde286833f93903f2613114b99a7a6c639f0f4ab617f792fb935e1fae2275ec0,active,,,2,ACCEPTED,ALL_BASELINE_CONTROLS,,,,True,True,True,True,True,False,uUmrJgxUxxhbgUkhhCylQADFSNJf4D1+kFf5HfhmU8w=,b8cec839e6edaf199c56856a65d01b38ae84de4210618027a6153d93ef25a33e,TC85w7Y+C0xa4teRmQmvLRDSdm9WotXZEJSLhGbEdGU=,b7dcd4af5ef8c96690882afabff28371507cdd14d0c9d29943848a760a732a01,2RsewmRyIAOZbiaixHnIwbV3bX5ym19bUXNVvZhY4xc=,531a86dc685ec70c3ba63eacbcf5e61399d30d10a268196e695f5a8d50c69157,,,,,,,,,,,,,,,,,d321460f727a01df0c6f17d24957d09f16497e26806423495ee9e8b6ca8b4c20,audit_trails/artifacts/accepted_runtime_submissions/T1_Plain_TADP_client_005_r2_b8cec839e6edaf19__d321460f727a01df.json,,,,,,,,,,,,,620b6c0fcc5b391012c9e1250eeb8a592cd4e8e56a3e0347a37c73e55d922ccf,8c51219fe852e6fde3a4b0ac92024e1e536c54921d6477badefcf4eeb6ba1e4a,,
4,ba21b7e9ab3875fd944a5708f5585e18,9e83915f1ec66ff08284fe9f21cbdaf4a23206ff439cffb8cf5750f1baa4d781,2026-08-14T10:05:23.394564+00:00,TADP-SEC/11.7,CLIENT_CIPHERTEXT_BINDING,T1_Plain_TADP,,,,client_005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIPHERTEXT_BOUND_TO_SIGNED_UPDATE,,,,,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,,,,,,5150b4b75b7f6ce3b016fcb7a93c8d0a,,,,,,,,,,,,,,2,VERIFIED,,,,,True,,,,,False,uUmrJgxUxxhbgUkhhCylQADFSNJf4D1+kFf5HfhmU8w=,b8cec839e6edaf199c56856a65d01b38ae84de4210618027a6153d93ef25a33e,TC85w7Y+C0xa4teRmQmvLRDSdm9WotXZEJSLhGbEdGU=,f0146f1ea491f341fda25cf8745d238e317247a46b93135d71a52371ca209fed,2RsewmRyIAOZbiaixHnIwbV3bX5ym19bUXNVvZhY4xc=,531a86dc685ec70c3ba63eacbcf5e61399d30d10a268196e695f5a8d50c69157,plaintext_update_no_noise,reference_python,n=|logq=|scale=|scheme=plain,plain,,,,,,,,,eab5ee79fead803d3b0d27abf8fd3ce5a325bf0e4be80d0a686acadf046b7bcd,,4e0b507ea2c95ed9843cdc2f45b6c4cc80bdd1c4149e6fa3beffa526b30e31b1,audit_trails/artifacts/ciphertext_attestations/T1_Plain_TADP_client_005_r2_e09127c81e0adaf9__4e0b507ea2c95ed9.json,,,,,,,,,,,,,,,8c51219fe852e6fde3a4b0ac92024e1e536c54921d6477badefcf4eeb6ba1e4a,51f575d259435b8e0fb297b49570d71671e69b30cc15ced0c32b49f7f47652de,,
5,9956b8e305f687287eea48d1a1c9a8d8,9e83915f1ec66ff08284fe9f21cbdaf4a23206ff439cffb8cf5750f1baa4d781,2026-08-14T10:05:24.405769+00:00,TADP-SEC/11.7,CLIENT_ACCEPTED_SUBMISSION,T1_Plain_TADP,,,,client_005,,,,,,,,,,,2.2-phase1-fixed-threshold-dual-critical-profile,8c9f9e340707a5cae92bf2155fa9f7c34a2a1a747777ef6d2d979b5067681037,82bd144eaa631526b728a623990937990d755cb87428b374a2111baf69f1fcb0,48280d24f69fe292e0f2ea36af2973499e4cdae8c2269acb1ec764678b69ce25,0fe2096c61042b75044c1fcaacbaf10e4df153a989e7d601441b14c9883cc548,VALIDATED_EVIDENCE_BUNDLE,,,,,,,,,,,,,,,,,,,,,,,,,UPDATE_SUBMITTED_ENFORCED,,False,NOT_REQUIRED_AUTOMATED_POLICY,False,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,6426009cb58b9abc58c496b9502ce2042d7129a6691282ae176da96402b111e6,324394ff1e963a2298a104ba69271c7a0d035b0368a4ead2740079c2c8d8538f,,,2026-08-15T09:15:27.359823+00:00,5150b4b75b7f6ce3b016fcb7a93c8d0a,,,,,044cd77c1f4a025145291edfd291a56f2d92a033e2e35c3c1d0fba18b86c8963,6feaa460f3b005d241338e38b5cf20aaf4c2f4560945448d636bffdf3a9e71db,,,2026-08-14T11:05:21.979775+00:00,fde286833f93903f2613114b99a7a6c639f0f4ab617f792fb935e1fae2275ec0,active,,,3,ACCEPTED,ALL_BASELINE_CONTROLS,,,,True,True,True,True,True,False,EwT/gDBve+fe6EyvcaamJkRy8a/og2Kd5bgNWBHnoLQ=,34db1788a925e38fee2ba46e9171bef2139579788ba3e062b5841e8dccd8343e,TC85w7Y+C0xa4teRmQmvLRDSdm9WotXZEJSLhGbEdGU=,49ac1a5360d7103021ba027ca608e595aafe7d892f1bcec7cbb35c14f2b6227c,Tc2YalXCvlxWO3+WrWxqnWPrMOgF+6FRYNYo/HHtDaY=,531a86dc685ec70c3ba63eacbcf5e61399d30d10a268196e695f5a8d50c69157,,,,,,,,,,,,,,,,,6641a3d70a5a1d5a2934d01b3fd856703857b24b992d69f2e50653a143a166ac,audit_trails/artifacts/accepted_runtime_submissions/T1_Plain_TADP_client_005_r3_34db1788a925e38f__6641a3d70a5a1d5a.json,,,,,,,,,,,,,51f575d259435b8e0fb297b49570d71671e69b30cc15ced0c32b49f7f47652de,69ade8696099762df55d711906faa99b3812d5ffa5079e619b8ba1f70fa908a7,,
6,7ea949053c1b9866e120bc9358707089,9e83915f1ec66ff08284fe9f21cbdaf4a23206ff439cffb8cf5750f1baa4d781,2026-08-14T10:05:24.426435+00:00,TADP-SEC/11.7,CLIENT_CIPHERTEXT_BINDING,T1_Plain_TADP,,,,client_005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIPHERTEXT_BOUND_TO_SIGNED_UPDATE,,,,,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,,,,,,5150b4b75b7f6ce3b016fcb7a93c8d0a,,,,,,,,,,,,,,3,VERIFIED,,,,,True,,,,,False,EwT/gDBve+fe6EyvcaamJkRy8a/og2Kd5bgNWBHnoLQ=,34db1788a925e38fee2ba46e9171bef2139579788ba3e062b5841e8dccd8343e,TC85w7Y+C0xa4teRmQmvLRDSdm9WotXZEJSLhGbEdGU=,0818be8d188280f3c6f862d3e44f3975badd3e9415ee23ef7a62e64561cc2c82,Tc2YalXCvlxWO3+WrWxqnWPrMOgF+6FRYNYo/HHtDaY=,531a86dc685ec70c3ba63eacbcf5e61399d30d10a268196e695f5a8d50c69157,plaintext_update_no_noise,reference_python,n=|logq=|scale=|scheme=plain,plain,,,,,,,,,eab5ee79fead803d3b0d27abf8fd3ce5a325bf0e4be80d0a686acadf046b7bcd,,2b844620e1604b2e7becedd629263b46882cd597a8bb7d034974dae4b778934d,audit_trails/artifacts/ciphertext_attestations/T1_Plain_TADP_client_005_r3_e0d842967120238c__2b844620e1604b2e.json,,,,,,,,,,,,,,,69ade8696099762df55d711906faa99b3812d5ffa5079e619b8ba1f70fa908a7,9083e79e537a06e67c46e03394887303140d4135db1f3fed786aac46c893d465,,
7,5657a997828349297635981f1de333f6,9e83915f1ec66ff08284fe9f21cbdaf4a23206ff439cffb8cf5750f1baa4d781,2026-08-14T10:05:25.491887+00:00,TADP-SEC/11.7,CLIENT_ACCEPTED_SUBMISSION,T1_Plain_TADP,,,,client_005,,,,,,,,,,,2.2-phase1-fixed-threshold-dual-critical-profile,8c9f9e340707a5cae92bf2155fa9f7c34a2a1a747777ef6d2d979b5067681037,82bd144eaa631526b728a623990937990d755cb87428b374a2111baf69f1fcb0,48280d24f69fe292e0f2ea36af2973499e4cdae8c2269acb1ec764678b69ce25,0fe2096c61042b75044c1fcaacbaf10e4df153a989e7d601441b14c9883cc548,VALIDATED_EVIDENCE_BUNDLE,,,,,,,,,,,,,,,,,,,,,,,,,UPDATE_SUBMITTED_ENFORCED,,False,NOT_REQUIRED_AUTOMATED_POLICY,False,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,6426009cb58b9abc58c496b9502ce2042d7129a6691282ae176da96402b111e6,324394ff1e963a2298a104ba69271c7a0d035b0368a4ead2740079c2c8d8538f,,,2026-08-15T09:15:27.359823+00:00,5150b4b75b7f6ce3b016fcb7a93c8d0a,,,,,044cd77c1f4a025145291edfd291a56f2d92a033e2e35c3c1d0fba18b86c8963,6feaa460f3b005d241338e38b5cf20aaf4c2f4560945448d636bffdf3a9e71db,,,2026-08-14T11:05:21.979775+00:00,fde286833f93903f2613114b99a7a6c639f0f4ab617f792fb935e1fae2275ec0,active,,,4,ACCEPTED,ALL_BASELINE_CONTROLS,,,,True,True,True,True,True,False,VXHy9Gj31fXOrn+IaN4V4lKfxX4vebEI4hF206pEy2Q=,13b19a805ec032e22d2f4a6868eb2868aa5a0a8954f14cdc3c385dbb2385936b,TC85w7Y+C0xa4teRmQmvLRDSdm9WotXZEJSLhGbEdGU=,93dc82720d22d08613eaf80b892fcf14fcdeb7f3ad1f632655f60229debdabc5,Az7UEG1mL0nt03bo/o8bdzHzQl1FkoyZhzO4IOvJIlE=,531a86dc685ec70c3ba63eacbcf5e61399d30d10a268196e695f5a8d50c69157,,,,,,,,,,,,,,,,,6d58d12b2fab7cd39e781813775903355ad78fd3a1af9b7892da5109a25170f1,audit_trails/artifacts/accepted_runtime_submissions/T1_Plain_TADP_client_005_r4_13b19a805ec032e2__6d58d12b2fab7cd3.json,,,,,,,,,,,,,9083e79e537a06e67c46e03394887303140d4135db1f3fed786aac46c893d465,ba7cac31c2a4db863bf2eb1e9bec6b36cc9662bf85b2d94551021fa2bd6235ef,,
8,23287cde1ce9cca61de2cfd2fba0e632,9e83915f1ec66ff08284fe9f21cbdaf4a23206ff439cffb8cf5750f1baa4d781,2026-08-14T10:05:25.513237+00:00,TADP-SEC/11.7,CLIENT_CIPHERTEXT_BINDING,T1_Plain_TADP,,,,client_005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIPHERTEXT_BOUND_TO_SIGNED_UPDATE,,,,,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,,,,,,5150b4b75b7f6ce3b016fcb7a93c8d0a,,,,,,,,,,,,,,4,VERIFIED,,,,,True,,,,,False,VXHy9Gj31fXOrn+IaN4V4lKfxX4vebEI4hF206pEy2Q=,13b19a805ec032e22d2f4a6868eb2868aa5a0a8954f14cdc3c385dbb2385936b,TC85w7Y+C0xa4teRmQmvLRDSdm9WotXZEJSLhGbEdGU=,c666dd6d8ffbf503f938df627a959491be3395d87428d136f4bf656b5a55e552,Az7UEG1mL0nt03bo/o8bdzHzQl1FkoyZhzO4IOvJIlE=,531a86dc685ec70c3ba63eacbcf5e61399d30d10a268196e695f5a8d50c69157,plaintext_update_no_noise,reference_python,n=|logq=|scale=|scheme=plain,plain,,,,,,,,,eab5ee79fead803d3b0d27abf8fd3ce5a325bf0e4be80d0a686acadf046b7bcd,,8059e49a9aee9b101a2d1d41ea914138db95b92d946d4594ca946a7bd107106d,audit_trails/artifacts/ciphertext_attestations/T1_Plain_TADP_client_005_r4_1d707cfc9f113fe6__8059e49a9aee9b10.json,,,,,,,,,,,,,,,ba7cac31c2a4db863bf2eb1e9bec6b36cc9662bf85b2d94551021fa2bd6235ef,4ea65795729f6d7adeabb95962d012325f43e092d6867aabbd92e328412227a8,,
9,99624b7b9f1e348533798ef2990b97f7,9e83915f1ec66ff08284fe9f21cbdaf4a23206ff439cffb8cf5750f1baa4d781,2026-08-14T10:05:26.538427+00:00,TADP-SEC/11.7,CLIENT_ACCEPTED_SUBMISSION,T1_Plain_TADP,,,,client_005,,,,,,,,,,,2.2-phase1-fixed-threshold-dual-critical-profile,8c9f9e340707a5cae92bf2155fa9f7c34a2a1a747777ef6d2d979b5067681037,82bd144eaa631526b728a623990937990d755cb87428b374a2111baf69f1fcb0,48280d24f69fe292e0f2ea36af2973499e4cdae8c2269acb1ec764678b69ce25,0fe2096c61042b75044c1fcaacbaf10e4df153a989e7d601441b14c9883cc548,VALIDATED_EVIDENCE_BUNDLE,,,,,,,,,,,,,,,,,,,,,,,,,UPDATE_SUBMITTED_ENFORCED,,False,NOT_REQUIRED_AUTOMATED_POLICY,False,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,6426009cb58b9abc58c496b9502ce2042d7129a6691282ae176da96402b111e6,324394ff1e963a2298a104ba69271c7a0d035b0368a4ead2740079c2c8d8538f,,,2026-08-15T09:15:27.359823+00:00,5150b4b75b7f6ce3b016fcb7a93c8d0a,,,,,044cd77c1f4a025145291edfd291a56f2d92a033e2e35c3c1d0fba18b86c8963,6feaa460f3b005d241338e38b5cf20aaf4c2f4560945448d636bffdf3a9e71db,,,2026-08-14T11:05:21.979775+00:00,fde286833f93903f2613114b99a7a6c639f0f4ab617f792fb935e1fae2275ec0,active,,,5,ACCEPTED,ALL_BASELINE_CONTROLS,,,,True,True,True,True,True,False,aAQj0/h7AcXYA+SQHRZBsLxx203VSVrhsmVbKMW+Ykc=,42af9a7f5679d39655aea28c25b813df63ec7ae3c14ec1fabe8415594e78be3b,TC85w7Y+C0xa4teRmQmvLRDSdm9WotXZEJSLhGbEdGU=,b24f97acec0dc21e08a96f17694b3126b057d0f95e50d40ad7572fda04cd98a1,el+x1/7Cbj7oSUhkRO8GlvJf7ec0oNXzoFCSUJu4vNc=,531a86dc685ec70c3ba63eacbcf5e61399d30d10a268196e695f5a8d50c69157,,,,,,,,,,,,,,,,,5e7d3a3ee2943f6d32d686f54279bc3af00eb225a3c233b8da96b3f85e545a95,audit_trails/artifacts/accepted_runtime_submissions/T1_Plain_TADP_client_005_r5_42af9a7f5679d396__5e7d3a3ee2943f6d.json,,,,,,,,,,,,,4ea65795729f6d7adeabb95962d012325f43e092d6867aabbd92e328412227a8,3b9cf7f416c3492ed3b43559af74a5ddd81a4a034480492f2e1b7676a90faba7,,
10,7f8e2447ca92b06ff044039f6b882218,9e83915f1ec66ff08284fe9f21cbdaf4a23206ff439cffb8cf5750f1baa4d781,2026-08-14T10:05:26.555795+00:00,TADP-SEC/11.7,CLIENT_CIPHERTEXT_BINDING,T1_Plain_TADP,,,,client_005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIPHERTEXT_BOUND_TO_SIGNED_UPDATE,,,,,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,,,,,,5150b4b75b7f6ce3b016fcb7a93c8d0a,,,,,,,,,,,,,,5,VERIFIED,,,,,True,,,,,False,aAQj0/h7AcXYA+SQHRZBsLxx203VSVrhsmVbKMW+Ykc=,42af9a7f5679d39655aea28c25b813df63ec7ae3c14ec1fabe8415594e78be3b,TC85w7Y+C0xa4teRmQmvLRDSdm9WotXZEJSLhGbEdGU=,77807bb7bbc6ce00ad989def1fa15c784cdfd76831e0fd73102b2fd2f0e10efa,el+x1/7Cbj7oSUhkRO8GlvJf7ec0oNXzoFCSUJu4vNc=,531a86dc685ec70c3ba63eacbcf5e61399d30d10a268196e695f5a8d50c69157,plaintext_update_no_noise,reference_python,n=|logq=|scale=|scheme=plain,plain,,,,,,,,,eab5ee79fead803d3b0d27abf8fd3ce5a325bf0e4be80d0a686acadf046b7bcd,,c79e74b139201cdf6728fa62f7c35021716503cd7aa0f3875afc7a427e526c20,audit_trails/artifacts/ciphertext_attestations/T1_Plain_TADP_client_005_r5_b22af9dc510b4130__c79e74b139201cdf.json,,,,,,,,,,,,,,,3b9cf7f416c3492ed3b43559af74a5ddd81a4a034480492f2e1b7676a90faba7,a208d7c271d0d4d9153d94d1ad256121b512392f3d31a4361af7482fe264f4e5,,
