Client,Saved admitted,Baseline admitted,Baseline decision,HPS,Critical HPS,Critical minimum,Source Reliability,Data Quality,Documentation,Timeliness,Regulatory,Context
client_000,True,True,DIRECT_AUTO_ACCEPT,4.6,4.857142857142858,4.0,5.0,5.0,4.0,4.0,5.0,4.0
client_001,True,True,ACCEPT_AFTER_AUTOMATED_REVIEW,3.4375,3.6250000000000004,3.0,3.0,4.75,3.0,3.0,3.0,3.0
client_002,False,False,REMEDIATE,3.05,3.0714285714285716,2.0,2.0,5.0,3.0,3.0,2.0,2.0
client_003,True,True,DIRECT_AUTO_ACCEPT,4.25,4.357142857142857,4.0,4.0,5.0,4.0,4.0,4.0,4.0
client_004,False,False,AUTO_REJECT,2.2375,2.3392857142857144,1.0,1.0,4.75,2.0,2.0,1.0,1.0
client_005,True,True,ACCEPT_AFTER_AUTOMATED_REVIEW,3.5,3.714285714285715,3.0,3.0,5.0,3.0,3.0,3.0,3.0
client_006,False,False,REMEDIATE,3.05,3.0714285714285716,2.0,2.0,5.0,3.0,3.0,2.0,2.0
client_007,True,True,DIRECT_AUTO_ACCEPT,4.6,4.857142857142858,4.0,5.0,5.0,4.0,4.0,5.0,4.0
client_008,True,True,ACCEPT_AFTER_AUTOMATED_REVIEW,3.5,3.714285714285715,3.0,3.0,5.0,3.0,3.0,3.0,3.0
client_009,False,False,AUTO_REJECT,2.3,2.428571428571429,1.0,1.0,5.0,2.0,2.0,1.0,1.0
client_010,True,True,DIRECT_AUTO_ACCEPT,4.25,4.357142857142857,4.0,4.0,5.0,4.0,4.0,4.0,4.0
client_011,True,True,ACCEPT_AFTER_AUTOMATED_REVIEW,3.5,3.714285714285715,3.0,3.0,5.0,3.0,3.0,3.0,3.0
client_012,False,False,REMEDIATE,3.05,3.0714285714285716,2.0,2.0,5.0,3.0,3.0,2.0,2.0
client_013,False,False,AUTO_REJECT,2.3,2.428571428571429,1.0,1.0,5.0,2.0,2.0,1.0,1.0
client_014,True,True,DIRECT_AUTO_ACCEPT,4.6,4.857142857142858,4.0,5.0,5.0,4.0,4.0,5.0,4.0
client_015,True,True,ACCEPT_AFTER_AUTOMATED_REVIEW,3.5,3.714285714285715,3.0,3.0,5.0,3.0,3.0,3.0,3.0
client_016,False,False,AUTO_REJECT,2.2375,2.3392857142857144,1.0,1.0,4.75,2.0,2.0,1.0,1.0
client_017,True,True,DIRECT_AUTO_ACCEPT,4.25,4.357142857142857,4.0,4.0,5.0,4.0,4.0,4.0,4.0
client_018,False,False,AUTO_REJECT,2.9875,2.982142857142857,2.0,2.0,4.75,3.0,3.0,2.0,2.0
client_019,True,True,ACCEPT_AFTER_AUTOMATED_REVIEW,3.5,3.714285714285715,3.0,3.0,5.0,3.0,3.0,3.0,3.0
