Threshold mode,Threshold perturbation,Threshold delta,Requested T_R,Requested T_A,Applied T_R,Applied T_A,T_C_direct,T_C_review,C_min,T_R clipped,T_A clipped,Valid policy,Admitted,Delta admitted,Not admitted,Delta not admitted,Admission flips,Admission flip rate,Decision-category flips,Lost admissions,New admissions,Lost client IDs,New client IDs,Admitted-set Jaccard,Direct auto-accept,Review accept,Remediate,Auto-reject
lower_only,-30%,-0.3,2.0999999999999996,4.0,2.0999999999999996,4.0,4.0,3.05,3.0,False,False,True,12.0,0.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,,,1.0,6.0,6.0,8.0,0.0
lower_only,-20%,-0.2,2.4000000000000004,4.0,2.4000000000000004,4.0,4.0,3.2,3.0,False,False,True,12.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0,6.0,6.0,4.0,4.0
lower_only,-10%,-0.1,2.7,4.0,2.7,4.0,4.0,3.35,3.0,False,False,True,12.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0,6.0,6.0,4.0,4.0
lower_only,0%,0.0,3.0,4.0,3.0,4.0,4.0,3.5,3.0,False,False,True,12.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,6.0,6.0,3.0,5.0
lower_only,+10%,0.1,3.3000000000000003,4.0,3.3000000000000003,4.0,4.0,3.6500000000000004,3.0,False,False,True,11.0,-1.0,9.0,1.0,1.0,0.05,4.0,1.0,0.0,client_001,,0.9166666666666666,6.0,5.0,1.0,8.0
lower_only,+20%,0.2,3.5999999999999996,4.0,3.5999999999999996,4.0,4.0,3.8,3.0,False,False,True,6.0,-6.0,14.0,6.0,6.0,0.3,9.0,6.0,0.0,client_001|client_005|client_008|client_011|client_015|client_019,,0.5,6.0,0.0,0.0,14.0
lower_only,+30%,0.3,3.9000000000000004,4.0,3.9000000000000004,4.0,4.0,3.95,3.0,False,False,True,6.0,-6.0,14.0,6.0,6.0,0.3,9.0,6.0,0.0,client_001|client_005|client_008|client_011|client_015|client_019,,0.5,6.0,0.0,0.0,14.0
upper_only,-30%,-0.3,3.0,2.8,3.0,2.8,2.8,,3.0,False,False,False,,,,,,,,,,,,,,,,
upper_only,-20%,-0.2,3.0,3.2,3.0,3.2,3.2,3.1,3.0,False,False,True,12.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,,,1.0,12.0,0.0,3.0,5.0
upper_only,-10%,-0.1,3.0,3.6,3.0,3.6,3.6,3.3,3.0,False,False,True,12.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,6.0,6.0,3.0,5.0
upper_only,0%,0.0,3.0,4.0,3.0,4.0,4.0,3.5,3.0,False,False,True,12.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,6.0,6.0,3.0,5.0
upper_only,+10%,0.1,3.0,4.4,3.0,4.4,4.4,3.7,3.0,False,False,True,11.0,-1.0,9.0,1.0,1.0,0.05,4.0,1.0,0.0,client_001,,0.9166666666666666,3.0,8.0,4.0,5.0
upper_only,+20%,0.2,3.0,4.8,3.0,4.8,4.8,3.9,3.0,False,False,True,6.0,-6.0,14.0,6.0,6.0,0.3,12.0,6.0,0.0,client_001|client_005|client_008|client_011|client_015|client_019,,0.5,0.0,6.0,9.0,5.0
upper_only,+30%,0.3,3.0,5.2,3.0,5.0,5.0,4.0,3.0,False,True,True,6.0,-6.0,14.0,6.0,6.0,0.3,12.0,6.0,0.0,client_001|client_005|client_008|client_011|client_015|client_019,,0.5,0.0,6.0,9.0,5.0
joint,-30%,-0.3,2.0999999999999996,2.8,2.0999999999999996,2.8,2.8,2.4499999999999997,3.0,False,False,True,12.0,0.0,8.0,0.0,0.0,0.0,11.0,0.0,0.0,,,1.0,12.0,0.0,8.0,0.0
joint,-20%,-0.2,2.4000000000000004,3.2,2.4000000000000004,3.2,3.2,2.8000000000000003,3.0,False,False,True,12.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,,,1.0,12.0,0.0,4.0,4.0
joint,-10%,-0.1,2.7,3.6,2.7,3.6,3.6,3.1500000000000004,3.0,False,False,True,12.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0,6.0,6.0,4.0,4.0
joint,0%,0.0,3.0,4.0,3.0,4.0,4.0,3.5,3.0,False,False,True,12.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,6.0,6.0,3.0,5.0
joint,+10%,0.1,3.3000000000000003,4.4,3.3000000000000003,4.4,4.4,3.8500000000000005,3.0,False,False,True,6.0,-6.0,14.0,6.0,6.0,0.3,12.0,6.0,0.0,client_001|client_005|client_008|client_011|client_015|client_019,,0.5,3.0,3.0,6.0,8.0
joint,+20%,0.2,3.5999999999999996,4.8,3.5999999999999996,4.8,4.8,4.199999999999999,3.0,False,False,True,6.0,-6.0,14.0,6.0,6.0,0.3,15.0,6.0,0.0,client_001|client_005|client_008|client_011|client_015|client_019,,0.5,0.0,6.0,0.0,14.0
joint,+30%,0.3,3.9000000000000004,5.2,3.9000000000000004,5.0,5.0,4.45,3.0,False,True,True,3.0,-9.0,17.0,9.0,9.0,0.45,15.0,9.0,0.0,client_001|client_003|client_005|client_008|client_010|client_011|client_015|client_017|client_019,,0.25,0.0,3.0,3.0,14.0
