Perturbed dimension,Perturbed dimension display,Weight perturbation,Weight delta,Baseline target weight,New target weight,Weight::source_reliability,Weight::data_quality,Weight::documentation,Weight::timeliness,Weight::regulatory,Weight::context,Admitted,Delta admitted,Not admitted,Delta not admitted,Admission flips,Admission flip rate,Decision-category flips,Lost admissions,New admissions,Lost client IDs,New client IDs,Admitted-set Jaccard,Direct auto-accept,Review accept,Remediate,Auto-reject
source_reliability,Source Reliability,-30%,-0.3,0.2,0.14,0.14,0.26875000000000004,0.16125,0.16125,0.16125,0.10750000000000001,12,0,8,0,0,0.0,1,0,0,,,1.0,6,6,4,4
source_reliability,Source Reliability,-20%,-0.2,0.2,0.16000000000000006,0.16000000000000006,0.2625,0.1575,0.1575,0.1575,0.105,12,0,8,0,0,0.0,1,0,0,,,1.0,6,6,4,4
source_reliability,Source Reliability,-10%,-0.1,0.2,0.18000000000000005,0.18000000000000005,0.25625000000000003,0.15375,0.15375,0.15375,0.10250000000000001,12,0,8,0,0,0.0,1,0,0,,,1.0,6,6,4,4
source_reliability,Source Reliability,0%,0.0,0.2,0.2,0.2,0.25,0.15,0.15,0.15,0.1,12,0,8,0,0,0.0,0,0,0,,,1.0,6,6,3,5
source_reliability,Source Reliability,+10%,0.1,0.2,0.22000000000000003,0.22000000000000003,0.24375,0.14625,0.14625,0.14625,0.0975,12,0,8,0,0,0.0,0,0,0,,,1.0,6,6,3,5
source_reliability,Source Reliability,+20%,0.2,0.2,0.24,0.24,0.2375,0.1425,0.1425,0.1425,0.095,12,0,8,0,0,0.0,3,0,0,,,1.0,6,6,0,8
source_reliability,Source Reliability,+30%,0.3,0.2,0.26,0.26,0.23124999999999998,0.13874999999999998,0.13874999999999998,0.13874999999999998,0.0925,12,0,8,0,0,0.0,3,0,0,,,1.0,6,6,0,8
data_quality,Data Quality,-30%,-0.3,0.25,0.17500000000000002,0.22,0.17500000000000002,0.165,0.165,0.165,0.11,11,-1,9,1,1,0.05,4,1,0,client_001,,0.9166666666666666,6,5,1,8
data_quality,Data Quality,-20%,-0.2,0.25,0.2,0.21333333333333335,0.2,0.16,0.16,0.16,0.10666666666666667,12,0,8,0,0,0.0,3,0,0,,,1.0,6,6,0,8
data_quality,Data Quality,-10%,-0.1,0.25,0.225,0.2066666666666667,0.225,0.155,0.155,0.155,0.10333333333333335,12,0,8,0,0,0.0,3,0,0,,,1.0,6,6,0,8
