Perturbed dimension,Perturbed dimension display,Threshold perturbation,Threshold delta,Weight perturbation,Weight delta,Applied T_R,Applied T_A,T_C_direct,T_C_review,T_R clipped,T_A clipped,New target weight,Client,Baseline admitted,Scenario admitted,Admission status changed,Baseline decision,Scenario decision,Decision category changed,Baseline HPS,Scenario HPS,Delta HPS,Baseline critical HPS,Scenario critical HPS,Delta critical HPS,Baseline critical minimum,Scenario critical minimum
source_reliability,Source Reliability,-30%,-0.3,-30%,-0.3,2.0999999999999996,2.8,2.8,2.4499999999999997,False,False,0.14,client_000,True,True,False,DIRECT_AUTO_ACCEPT,DIRECT_AUTO_ACCEPT,False,4.6,4.57,-0.02999999999999936,4.857142857142858,4.841328413284132,-0.015814443858725546,4.0,4.0
source_reliability,Source Reliability,-30%,-0.3,-30%,-0.3,2.0999999999999996,2.8,2.8,2.4499999999999997,False,False,0.14,client_001,True,True,False,ACCEPT_AFTER_AUTOMATED_REVIEW,DIRECT_AUTO_ACCEPT,True,3.4375,3.4703125000000004,0.032812500000000355,3.6250000000000004,3.6941881918819184,0.06918819188191794,3.0,3.0
source_reliability,Source Reliability,-30%,-0.3,-30%,-0.3,2.0999999999999996,2.8,2.8,2.4499999999999997,False,False,0.14,client_002,False,False,False,REMEDIATE,REMEDIATE,False,3.05,3.12875,0.07875000000000032,3.0714285714285716,3.190036900369004,0.11860832894043227,2.0,2.0
source_reliability,Source Reliability,-30%,-0.3,-30%,-0.3,2.0999999999999996,2.8,2.8,2.4499999999999997,False,False,0.14,client_003,True,True,False,DIRECT_AUTO_ACCEPT,DIRECT_AUTO_ACCEPT,False,4.25,4.268750000000001,0.01875000000000071,4.357142857142857,4.3966789667896675,0.03953610964681076,4.0,4.0
source_reliability,Source Reliability,-30%,-0.3,-30%,-0.3,2.0999999999999996,2.8,2.8,2.4499999999999997,False,False,0.14,client_004,False,False,False,AUTO_REJECT,REMEDIATE,True,2.2375,2.3303125000000002,0.09281250000000041,2.3392857142857144,2.4875461254612548,0.14826041117554034,1.0,1.0
source_reliability,Source Reliability,-30%,-0.3,-30%,-0.3,2.0999999999999996,2.8,2.8,2.4499999999999997,False,False,0.14,client_005,True,True,False,ACCEPT_AFTER_AUTOMATED_REVIEW,DIRECT_AUTO_ACCEPT,True,3.5,3.5375000000000005,0.03750000000000053,3.714285714285715,3.7933579335793355,0.07907221929362063,3.0,3.0
source_reliability,Source Reliability,-30%,-0.3,-30%,-0.3,2.0999999999999996,2.8,2.8,2.4499999999999997,False,False,0.14,client_006,False,False,False,REMEDIATE,REMEDIATE,False,3.05,3.12875,0.07875000000000032,3.0714285714285716,3.190036900369004,0.11860832894043227,2.0,2.0
source_reliability,Source Reliability,-30%,-0.3,-30%,-0.3,2.0999999999999996,2.8,2.8,2.4499999999999997,False,False,0.14,client_007,True,True,False,DIRECT_AUTO_ACCEPT,DIRECT_AUTO_ACCEPT,False,4.6,4.57,-0.02999999999999936,4.857142857142858,4.841328413284132,-0.015814443858725546,4.0,4.0
source_reliability,Source Reliability,-30%,-0.3,-30%,-0.3,2.0999999999999996,2.8,2.8,2.4499999999999997,False,False,0.14,client_008,True,True,False,ACCEPT_AFTER_AUTOMATED_REVIEW,DIRECT_AUTO_ACCEPT,True,3.5,3.5375000000000005,0.03750000000000053,3.714285714285715,3.7933579335793355,0.07907221929362063,3.0,3.0
source_reliability,Source Reliability,-30%,-0.3,-30%,-0.3,2.0999999999999996,2.8,2.8,2.4499999999999997,False,False,0.14,client_009,False,False,False,AUTO_REJECT,REMEDIATE,True,2.3,2.3975000000000004,0.09750000000000059,2.428571428571429,2.5867158671586714,0.1581444385872426,1.0,1.0
