Omitted dimension,Omitted dimension display,Was critical dimension,Client,Baseline admitted,Ablated admitted,Admission status changed,Baseline decision,Ablated decision,Decision category changed,Baseline HPS,Ablated HPS,Delta HPS,Baseline critical HPS,Ablated critical HPS,Delta critical HPS,Baseline critical minimum,Ablated critical minimum
source_reliability,Source Reliability,True,client_000,True,True,False,DIRECT_AUTO_ACCEPT,DIRECT_AUTO_ACCEPT,False,4.6,4.5,-0.09999999999999964,4.857142857142858,4.8,-0.05714285714285783,4.0,4.0
source_reliability,Source Reliability,True,client_001,True,True,False,ACCEPT_AFTER_AUTOMATED_REVIEW,ACCEPT_AFTER_AUTOMATED_REVIEW,False,3.4375,3.5468749999999996,0.10937499999999956,3.6250000000000004,3.875,0.24999999999999956,3.0,3.0
source_reliability,Source Reliability,True,client_002,False,False,False,REMEDIATE,REMEDIATE,False,3.05,3.3124999999999996,0.26249999999999973,3.0714285714285716,3.5,0.4285714285714284,2.0,2.0
source_reliability,Source Reliability,True,client_003,True,True,False,DIRECT_AUTO_ACCEPT,DIRECT_AUTO_ACCEPT,False,4.25,4.3125,0.0625,4.357142857142857,4.5,0.14285714285714324,4.0,4.0
source_reliability,Source Reliability,True,client_004,False,False,False,AUTO_REJECT,AUTO_REJECT,False,2.2375,2.546875,0.3093750000000002,2.3392857142857144,2.875,0.5357142857142856,1.0,1.0
source_reliability,Source Reliability,True,client_005,True,True,False,ACCEPT_AFTER_AUTOMATED_REVIEW,ACCEPT_AFTER_AUTOMATED_REVIEW,False,3.5,3.6249999999999996,0.12499999999999956,3.714285714285715,4.0,0.28571428571428514,3.0,3.0
source_reliability,Source Reliability,True,client_006,False,False,False,REMEDIATE,REMEDIATE,False,3.05,3.3124999999999996,0.26249999999999973,3.0714285714285716,3.5,0.4285714285714284,2.0,2.0
source_reliability,Source Reliability,True,client_007,True,True,False,DIRECT_AUTO_ACCEPT,DIRECT_AUTO_ACCEPT,False,4.6,4.5,-0.09999999999999964,4.857142857142858,4.8,-0.05714285714285783,4.0,4.0
source_reliability,Source Reliability,True,client_008,True,True,False,ACCEPT_AFTER_AUTOMATED_REVIEW,ACCEPT_AFTER_AUTOMATED_REVIEW,False,3.5,3.6249999999999996,0.12499999999999956,3.714285714285715,4.0,0.28571428571428514,3.0,3.0
source_reliability,Source Reliability,True,client_009,False,False,False,AUTO_REJECT,AUTO_REJECT,False,2.3,2.625,0.3250000000000002,2.428571428571429,3.0,0.5714285714285712,1.0,1.0
source_reliability,Source Reliability,True,client_010,True,True,False,DIRECT_AUTO_ACCEPT,DIRECT_AUTO_ACCEPT,False,4.25,4.3125,0.0625,4.357142857142857,4.5,0.14285714285714324,4.0,4.0
source_reliability,Source Reliability,True,client_011,True,True,False,ACCEPT_AFTER_AUTOMATED_REVIEW,ACCEPT_AFTER_AUTOMATED_REVIEW,False,3.5,3.6249999999999996,0.12499999999999956,3.714285714285715,4.0,0.28571428571428514,3.0,3.0
source_reliability,Source Reliability,True,client_012,False,False,False,REMEDIATE,REMEDIATE,False,3.05,3.3124999999999996,0.26249999999999973,3.0714285714285716,3.5,0.4285714285714284,2.0,2.0
