Threshold mode,Threshold perturbation,Applied T_R,Applied T_A,T_C_direct,T_C_review,Valid policy,Admitted,Delta admitted,Not admitted,Delta not admitted,Admission flips,Lost admissions,New admissions,Admitted-set Jaccard,Direct auto-accept,Review accept,Remediate,Auto-reject
lower_only,-30%,2.0999999999999996,4.0,4.0,3.05,True,12.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,8.0,0.0
lower_only,-20%,2.4000000000000004,4.0,4.0,3.2,True,12.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,4.0,4.0
lower_only,-10%,2.7,4.0,4.0,3.35,True,12.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,4.0,4.0
lower_only,0%,3.0,4.0,4.0,3.5,True,12.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,3.0,5.0
lower_only,+10%,3.3000000000000003,4.0,4.0,3.6500000000000004,True,11.0,-1.0,9.0,1.0,1.0,1.0,0.0,0.9166666666666666,6.0,5.0,1.0,8.0
lower_only,+20%,3.5999999999999996,4.0,4.0,3.8,True,6.0,-6.0,14.0,6.0,6.0,6.0,0.0,0.5,6.0,0.0,0.0,14.0
lower_only,+30%,3.9000000000000004,4.0,4.0,3.95,True,6.0,-6.0,14.0,6.0,6.0,6.0,0.0,0.5,6.0,0.0,0.0,14.0
upper_only,-30%,3.0,2.8,2.8,,False,,,,,,,,,,,,
upper_only,-20%,3.0,3.2,3.2,3.1,True,12.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,3.0,5.0
upper_only,-10%,3.0,3.6,3.6,3.3,True,12.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,3.0,5.0
upper_only,0%,3.0,4.0,4.0,3.5,True,12.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,3.0,5.0
upper_only,+10%,3.0,4.4,4.4,3.7,True,11.0,-1.0,9.0,1.0,1.0,1.0,0.0,0.9166666666666666,3.0,8.0,4.0,5.0
upper_only,+20%,3.0,4.8,4.8,3.9,True,6.0,-6.0,14.0,6.0,6.0,6.0,0.0,0.5,0.0,6.0,9.0,5.0
upper_only,+30%,3.0,5.0,5.0,4.0,True,6.0,-6.0,14.0,6.0,6.0,6.0,0.0,0.5,0.0,6.0,9.0,5.0
joint,-30%,2.0999999999999996,2.8,2.8,2.4499999999999997,True,12.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,8.0,0.0
joint,-20%,2.4000000000000004,3.2,3.2,2.8000000000000003,True,12.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,4.0,4.0
joint,-10%,2.7,3.6,3.6,3.1500000000000004,True,12.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,4.0,4.0
joint,0%,3.0,4.0,4.0,3.5,True,12.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,3.0,5.0
joint,+10%,3.3000000000000003,4.4,4.4,3.8500000000000005,True,6.0,-6.0,14.0,6.0,6.0,6.0,0.0,0.5,3.0,3.0,6.0,8.0
joint,+20%,3.5999999999999996,4.8,4.8,4.199999999999999,True,6.0,-6.0,14.0,6.0,6.0,6.0,0.0,0.5,0.0,6.0,0.0,14.0
joint,+30%,3.9000000000000004,5.0,5.0,4.45,True,3.0,-9.0,17.0,9.0,9.0,9.0,0.0,0.25,0.0,3.0,3.0,14.0
