Perturbed dimension display,Weight perturbation,New target weight,Admitted,Delta admitted,Not admitted,Delta not admitted,Admission flips,Lost admissions,New admissions,Admitted-set Jaccard,Direct auto-accept,Review accept,Remediate,Auto-reject
Source Reliability,-30%,0.14,12,0,8,0,0,0,0,1.0,6,6,4,4
Source Reliability,-20%,0.16000000000000006,12,0,8,0,0,0,0,1.0,6,6,4,4
Source Reliability,-10%,0.18000000000000005,12,0,8,0,0,0,0,1.0,6,6,4,4
Source Reliability,0%,0.2,12,0,8,0,0,0,0,1.0,6,6,3,5
Source Reliability,+10%,0.22000000000000003,12,0,8,0,0,0,0,1.0,6,6,3,5
Source Reliability,+20%,0.24,12,0,8,0,0,0,0,1.0,6,6,0,8
Source Reliability,+30%,0.26,12,0,8,0,0,0,0,1.0,6,6,0,8
Data Quality,-30%,0.17500000000000002,11,-1,9,1,1,1,0,0.9166666666666666,6,5,1,8
Data Quality,-20%,0.2,12,0,8,0,0,0,0,1.0,6,6,0,8
Data Quality,-10%,0.225,12,0,8,0,0,0,0,1.0,6,6,0,8
Data Quality,0%,0.25,12,0,8,0,0,0,0,1.0,6,6,3,5
Data Quality,+10%,0.275,12,0,8,0,0,0,0,1.0,6,6,4,4
Data Quality,+20%,0.30000000000000004,12,0,8,0,0,0,0,1.0,6,6,4,4
Data Quality,+30%,0.325,12,0,8,0,0,0,0,1.0,6,6,4,4
Documentation,-30%,0.105,12,0,8,0,0,0,0,1.0,6,6,3,5
Documentation,-20%,0.12,12,0,8,0,0,0,0,1.0,6,6,3,5
Documentation,-10%,0.13500000000000004,12,0,8,0,0,0,0,1.0,6,6,3,5
Documentation,0%,0.15,12,0,8,0,0,0,0,1.0,6,6,3,5
Documentation,+10%,0.165,12,0,8,0,0,0,0,1.0,6,6,3,5
Documentation,+20%,0.18,12,0,8,0,0,0,0,1.0,6,6,3,5
Documentation,+30%,0.195,12,0,8,0,0,0,0,1.0,6,6,3,5
Timeliness,-30%,0.105,12,0,8,0,0,0,0,1.0,6,6,3,5
Timeliness,-20%,0.12,12,0,8,0,0,0,0,1.0,6,6,3,5
Timeliness,-10%,0.13500000000000004,12,0,8,0,0,0,0,1.0,6,6,3,5
Timeliness,0%,0.15,12,0,8,0,0,0,0,1.0,6,6,3,5
Timeliness,+10%,0.165,12,0,8,0,0,0,0,1.0,6,6,3,5
Timeliness,+20%,0.18,12,0,8,0,0,0,0,1.0,6,6,3,5
Timeliness,+30%,0.195,12,0,8,0,0,0,0,1.0,6,6,3,5
Regulatory,-30%,0.105,12,0,8,0,0,0,0,1.0,6,6,4,4
Regulatory,-20%,0.12,12,0,8,0,0,0,0,1.0,6,6,4,4
Regulatory,-10%,0.13500000000000004,12,0,8,0,0,0,0,1.0,6,6,4,4
Regulatory,0%,0.15,12,0,8,0,0,0,0,1.0,6,6,3,5
Regulatory,+10%,0.165,12,0,8,0,0,0,0,1.0,6,6,3,5
Regulatory,+20%,0.18,12,0,8,0,0,0,0,1.0,6,6,3,5
Regulatory,+30%,0.195,12,0,8,0,0,0,0,1.0,6,6,0,8
Context,-30%,0.06999999999999999,12,0,8,0,0,0,0,1.0,6,6,4,4
Context,-20%,0.08000000000000002,12,0,8,0,0,0,0,1.0,6,6,4,4
Context,-10%,0.09000000000000002,12,0,8,0,0,0,0,1.0,6,6,3,5
Context,0%,0.1,12,0,8,0,0,0,0,1.0,6,6,3,5
Context,+10%,0.11000000000000001,12,0,8,0,0,0,0,1.0,6,6,3,5
Context,+20%,0.12,12,0,8,0,0,0,0,1.0,6,6,3,5
Context,+30%,0.13,12,0,8,0,0,0,0,1.0,6,6,3,5
