sequence,event_id,ledger_id,timestamp,protocol_version,record_type,scenario,approach,mode,transaction_id,client_id,version,template,dataset_version,dataset_commitment,data_summary_hash,evidence_bundle_hash,evidence_bundle_artifact_hash,evidence_bundle_artifact_relpath,validator_version,rubric_version,governance_policy_version,evidence_manifest_hash,evidence_hash,data_manifest_hash,data_manifest_validation_hash,metadata_validation_status,dimension_scores,final_governance_values_hash,pscore,policy_profile_id,hps_accept_threshold,hps_reject_threshold,critical_profile_review_threshold,critical_profile_threshold_applied,critical_profile_threshold_name,critical_dimension_threshold,critical_dimensions,critical_hps,critical_dimension_min,arq_boundary_policy,arq_region,review_policy_id,review_recommendation,review_reason_code,review_reason_text,governance_archetype,risk_archetype,initial_action,final_action,action,review_outcome,manual_review_required,manual_review_disposition,safe_default_applied,current_session_eligibility,reassessment_eligibility,n_samples,position,percentile,cia_confidentiality,cia_integrity,cia_availability,cia_high_water,business_impact,client_required_security_class,client_required_security_tier,security_class,security_tier,computed_strictest_security_class,computed_strictest_security_tier,current_survivor_strictest_class,current_survivor_strictest_tier,session_locked_security_class,session_locked_security_tier,session_profile_locked,admission_receipt_hash,admission_receipt_signature_hash,admission_receipt_artifact_hash,admission_receipt_artifact_relpath,admission_expires_at,session_id,session_epoch,parent_session_id,parent_session_security_decision_hash,session_reform_reason,session_security_decision_hash,session_security_decision_signature_hash,session_decision_artifact_hash,session_decision_artifact_relpath,session_decision_expires_at,risk_assessment_hash,revocation_status,execution_mode,requested_benchmark_tier,round_id,event_status,verification_stage,violation_type,reason_code,violation_details,signature_verified,freshness_verified,pofc_verified,semantic_verified,rate_limit_ok,blocked_before_aggregation,payload_hash,envelope_hash,key_id,signature_hash,global_model_hash,model_schema_hash,crypto_mechanism,crypto_backend,parameter_set_id,key_tag,expanded,ks_applied,shares_available,shares_required,can_finalize,comm_factor,crypto_overhead_ms,noise_std,ciphertext_commitment,evaluation_key_commitment,ciphertext_attestation_artifact_hash,ciphertext_attestation_artifact_relpath,submission_artifact_hash,submission_artifact_relpath,artifact_type,artifact_id,artifact_hash,artifact_relpath,local_ledger_id,local_event_hash,local_ledger_head_hash,crypto_ledger_id,crypto_event_hash,crypto_ledger_head_hash,subledger_manifest_hash,subledger_seal_count,prev_hash,row_hash,bundle_hash,checkpoint_signature
1,bd04f46d7a4f7a529aeeeb196cb08e05,2b0bfdbb1669c5bc5830b73ec4599926a072b6c2226a5b04073b2cd99b4b571b,2026-08-24T22:31:58.282303+00:00,TADP-SEC/14.0,CLIENT_KEY_ENROLLMENT,,,,,client_000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLIENT_KEY_ENROLLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENROLLED,,,,,,,,,,,,,ZI+dcRxpQTtWY+pTzc/obYK37Hp92urz6JMlQOur2w4=,,,,,,,,,,,,,,,,,,,,,,client_key_enrollment,client_000_648f9d711c69413b,dd2a5a680b64d99e3fa0aa7cb832c7bbc0efbf6887db5e65c5525464e4bf5eaa,audit_trails/artifacts/client_key_enrollment/client_000_648f9d711c69413b__dd2a5a680b64d99e.json,fd47a984e98103d7c780438321e3db090455d8b09216c5252e5f1b3d326e4e31,,,,,,,,bb661363f9ab0a688733534fca3aa20acc7fa65a7ffcbfb480362fb2088c277a,5cce12e037d715c5e394e769e10919d9c5de0ec67c69013e615466cf61ff8aac,,
2,2ee38e29cd1016ec67d95d949e85ad32,2b0bfdbb1669c5bc5830b73ec4599926a072b6c2226a5b04073b2cd99b4b571b,2026-08-24T22:31:58.376214+00:00,TADP-SEC/14.0,CLIENT_KEY_ENROLLMENT,,,,,client_001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLIENT_KEY_ENROLLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENROLLED,,,,,,,,,,,,,LVS6iX3xyk+AW89N8K7wd5i2P+GtpUmTpzID/3W7LU4=,,,,,,,,,,,,,,,,,,,,,,client_key_enrollment,client_001_2d54ba897df1ca4f,e0ed53cf2f0dd0968c23ad98cb17bd28c386243cf5bbd55e8f3230f8e067f2bc,audit_trails/artifacts/client_key_enrollment/client_001_2d54ba897df1ca4f__e0ed53cf2f0dd096.json,9009c28128737f7948fb54beb932f446c0ce27d5cbdefb4938dce83226ac7abd,,,,,,,,5cce12e037d715c5e394e769e10919d9c5de0ec67c69013e615466cf61ff8aac,4b32a37bfcdf5db79bda76f17ae52995fc92a0e0ccdddc80a5a2d252adaf3f4b,,
3,b3b90cfebf293b65780bb852f5bd31d0,2b0bfdbb1669c5bc5830b73ec4599926a072b6c2226a5b04073b2cd99b4b571b,2026-08-24T22:31:58.559623+00:00,TADP-SEC/14.0,CLIENT_KEY_ENROLLMENT,,,,,client_002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLIENT_KEY_ENROLLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENROLLED,,,,,,,,,,,,,DxNzbAfaZk+/pFIW3uG37MegzYKRZu78uVSP9FjRiX8=,,,,,,,,,,,,,,,,,,,,,,client_key_enrollment,client_002_0f13736c07da664f,b31bdc78eb3d08cb0dbd566def0d8215064b066c0cee0ff7dcc0390daf44ebf5,audit_trails/artifacts/client_key_enrollment/client_002_0f13736c07da664f__b31bdc78eb3d08cb.json,60e041009ad213c76317dceb5cadd1fbc9b880958dbf85148570adbb870945c2,,,,,,,,4b32a37bfcdf5db79bda76f17ae52995fc92a0e0ccdddc80a5a2d252adaf3f4b,799c50ba437d4e5f79c2b74f758c45a5cc851b9773072d92e9ca1d54ca0d9ea0,,
4,e2a9a55606b1baf915bb43ee04f34eab,2b0bfdbb1669c5bc5830b73ec4599926a072b6c2226a5b04073b2cd99b4b571b,2026-08-24T22:31:58.704898+00:00,TADP-SEC/14.0,CLIENT_KEY_ENROLLMENT,,,,,client_003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLIENT_KEY_ENROLLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENROLLED,,,,,,,,,,,,,x9WRTA6Ma6d106oPQOJ372msOoyXRKbOTX3/nN61FaU=,,,,,,,,,,,,,,,,,,,,,,client_key_enrollment,client_003_c7d5914c0e8c6ba7,b203b6ed0b78211d8a8becc707992b40e2a5fab6d5e15a3731aab5c7b9d22209,audit_trails/artifacts/client_key_enrollment/client_003_c7d5914c0e8c6ba7__b203b6ed0b78211d.json,8d458e3fb991354a34298d9640655958528fb7b045cebb70b3887af8cf63ec75,,,,,,,,799c50ba437d4e5f79c2b74f758c45a5cc851b9773072d92e9ca1d54ca0d9ea0,5a83e46849341b364976c6d7040f0363aff346d2e72a5f8cd83c048b9c041d86,,
5,1f056b437df558496654c3ec15420c6a,2b0bfdbb1669c5bc5830b73ec4599926a072b6c2226a5b04073b2cd99b4b571b,2026-08-24T22:31:58.837007+00:00,TADP-SEC/14.0,CLIENT_KEY_ENROLLMENT,,,,,client_004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLIENT_KEY_ENROLLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENROLLED,,,,,,,,,,,,,tcJwY6bvZ3BWN0ROZBBhi+u43WFYeQoPQ/QlE5Uirnw=,,,,,,,,,,,,,,,,,,,,,,client_key_enrollment,client_004_b5c27063a6ef6770,24cbefe4b8d84277996bc4002e871195785c2f91ddf07adace663043de8cbe4b,audit_trails/artifacts/client_key_enrollment/client_004_b5c27063a6ef6770__24cbefe4b8d84277.json,6d1c86162b42db3693a58e6b74540ada7fe7cd2252f7b1d71db55136be8d3922,,,,,,,,5a83e46849341b364976c6d7040f0363aff346d2e72a5f8cd83c048b9c041d86,de7b34325097b1f95e26e12ff1ffa580863ba188caeeae03705d3470798c614e,,
6,9178cb6636803e841f51e9c1b4639542,2b0bfdbb1669c5bc5830b73ec4599926a072b6c2226a5b04073b2cd99b4b571b,2026-08-24T22:31:58.915911+00:00,TADP-SEC/14.0,CLIENT_KEY_ENROLLMENT,,,,,client_005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLIENT_KEY_ENROLLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENROLLED,,,,,,,,,,,,,/AihxcWZKMhhMS8aavWjybrhf6c3gFpzeEPlX7hunhM=,,,,,,,,,,,,,,,,,,,,,,client_key_enrollment,client_005_fc08a1c5c59928c8,27dd8fa83e6ce744bbbf93f06704141f1752350c26525f746832bf7581300cba,audit_trails/artifacts/client_key_enrollment/client_005_fc08a1c5c59928c8__27dd8fa83e6ce744.json,7e9eb58cbdb02b74756f5c4c27945b3cc9e1a238ec3d8ac82aa08aa22eac48ef,,,,,,,,de7b34325097b1f95e26e12ff1ffa580863ba188caeeae03705d3470798c614e,570d66fbefa470696d97908de71d2d8c30b9ef2aa7bf1b0f910062bddc493f8d,,
7,13eea09066a2421ae0b31e068aee1207,2b0bfdbb1669c5bc5830b73ec4599926a072b6c2226a5b04073b2cd99b4b571b,2026-08-24T22:31:59.037693+00:00,TADP-SEC/14.0,CLIENT_KEY_ENROLLMENT,,,,,client_006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLIENT_KEY_ENROLLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENROLLED,,,,,,,,,,,,,9Nfe5go77FgBIVA5NPdoZqqrGNp/wPAV8s9ZoRoSYPY=,,,,,,,,,,,,,,,,,,,,,,client_key_enrollment,client_006_f4d7dee60a3bec58,7af184c6541097bd41ed969f18c10bb7bbc7419059f6a744082378762e68080e,audit_trails/artifacts/client_key_enrollment/client_006_f4d7dee60a3bec58__7af184c6541097bd.json,d68db27dac8333e71964b5acd8d4cc3d0f8936c26a35d06cd90dd68047a6af31,,,,,,,,570d66fbefa470696d97908de71d2d8c30b9ef2aa7bf1b0f910062bddc493f8d,43853681b7a5e28ad86d2b5d0f058c6d3fdc738e813d308d390654e6e0a2faf2,,
8,d67f8496a2ad4e71efaec4ff67428e02,2b0bfdbb1669c5bc5830b73ec4599926a072b6c2226a5b04073b2cd99b4b571b,2026-08-24T22:31:59.359896+00:00,TADP-SEC/14.0,CLIENT_KEY_ENROLLMENT,,,,,client_007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLIENT_KEY_ENROLLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENROLLED,,,,,,,,,,,,,DekGHnTQF7U4OF4LBaAuyE6MeXKIdPaE4+j2reJbk/o=,,,,,,,,,,,,,,,,,,,,,,client_key_enrollment,client_007_0de9061e74d017b5,80ec78ec2f107aabafa51fc6516bf096c55cbe9ed5929edd50c0128a82db873c,audit_trails/artifacts/client_key_enrollment/client_007_0de9061e74d017b5__80ec78ec2f107aab.json,8f0ce7d8eefb64bb8ee6a429fce0bc7e5985bd4e3e70a7179603b086c7878454,,,,,,,,43853681b7a5e28ad86d2b5d0f058c6d3fdc738e813d308d390654e6e0a2faf2,ae1de41937f6f0cfbff5c8b43011b319ec92500dd9e5dfb99ac1b247ee44fd52,,
9,cbd99abddb8ab6cb1e5476a3e734ce51,2b0bfdbb1669c5bc5830b73ec4599926a072b6c2226a5b04073b2cd99b4b571b,2026-08-24T22:31:59.801934+00:00,TADP-SEC/14.0,CLIENT_KEY_ENROLLMENT,,,,,client_008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLIENT_KEY_ENROLLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENROLLED,,,,,,,,,,,,,jk2dzUHfoPTRQn+MlClK/6yjS82lcyCdzXadPD4LPDU=,,,,,,,,,,,,,,,,,,,,,,client_key_enrollment,client_008_8e4d9dcd41dfa0f4,3171207080bb0e2912c22d568980b2d3f4e7f5f0b6050e3d07bed9267ce9559e,audit_trails/artifacts/client_key_enrollment/client_008_8e4d9dcd41dfa0f4__3171207080bb0e29.json,8f837759a53d78a54fc49171b630444d4623d881137c57cbaa2d55899a4fc9e0,,,,,,,,ae1de41937f6f0cfbff5c8b43011b319ec92500dd9e5dfb99ac1b247ee44fd52,f7dad3bb7cf4e154dbea80c99ce760b005b3dabae175b5368d0bc722d0da52d4,,
10,95ca64378c1b22601f72c62696ed2b4c,2b0bfdbb1669c5bc5830b73ec4599926a072b6c2226a5b04073b2cd99b4b571b,2026-08-24T22:31:59.951780+00:00,TADP-SEC/14.0,CLIENT_KEY_ENROLLMENT,,,,,client_009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLIENT_KEY_ENROLLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENROLLED,,,,,,,,,,,,,ubwFFbuPLH+n650nnX2Cem5hjfnpIFUo76uoNGEBmfg=,,,,,,,,,,,,,,,,,,,,,,client_key_enrollment,client_009_b9bc0515bb8f2c7f,49d0a97fa8ba3d96c6a893afe7811f5ab70bffa10945597879ea7d20c106868b,audit_trails/artifacts/client_key_enrollment/client_009_b9bc0515bb8f2c7f__49d0a97fa8ba3d96.json,9f90a5315b1f3ce599947cd15d418e026d6f9e4b1090cc6f7fda9a4f5202e5a2,,,,,,,,f7dad3bb7cf4e154dbea80c99ce760b005b3dabae175b5368d0bc722d0da52d4,d13e9a1c85c85737cb4e7e3f2f327226717bc53a6e04cdaae00a333d1c1fdeb2,,
