scenario,metric_diag_reference_scenario,seed,round,metric_diag_ap_current_full_precision,metric_diag_ap_reference_full_precision,metric_diag_delta_ap,metric_diag_f1_current_full_precision,metric_diag_f1_reference_full_precision,metric_diag_delta_f1,metric_diag_mcc_current_full_precision,metric_diag_mcc_reference_full_precision,metric_diag_delta_mcc,metric_diag_threshold_current,metric_diag_threshold_reference,metric_diag_delta_threshold,metric_diag_model_parameter_l2_delta,metric_diag_model_parameter_max_abs_delta,metric_diag_probability_max_abs_delta,metric_diag_probability_mean_abs_delta,metric_diag_probability_rmse,metric_diag_prediction_disagreement_count,metric_diag_prediction_disagreement_rate,metric_diag_binary_predictions_exact_match
B1_xMK_CKKS,B0_Plain_FL,7,20,0.728070352458,0.728070352458,0,0.719665271967,0.719665271967,0,0.731073747202,0.731073747202,0,0.0543538268351,0.0543537947404,3.20947734916e-08,7.57511126158e-07,3.34563790269e-07,7.05930574108e-07,5.310879645e-09,9.36941719853e-09,0,0,True
B1_xMK_CKKS,B0_Plain_FL,11,20,0.728148840684,0.728148803593,3.70909121195e-08,0.719665271967,0.719665271967,0,0.731073747202,0.731073747202,0,0.0534125042874,0.053412515124,-1.08366249515e-08,8.00536007872e-07,3.15796522644e-07,9.09882206107e-07,6.27062612922e-09,1.25412167896e-08,0,0,True
B1_xMK_CKKS,B0_Plain_FL,19,20,0.728116672377,0.728116672377,0,0.719665271967,0.719665271967,0,0.731073747202,0.731073747202,0,0.0544788608325,0.0544789203198,-5.94873442034e-08,1.31266447817e-06,6.82345654701e-07,9.86420223281e-07,1.06408412989e-08,2.06081168248e-08,0,0,True
B1_xMK_CKKS,B0_Plain_FL,23,20,0.72771298242,0.72771298242,0,0.719665271967,0.719665271967,0,0.731073747202,0.731073747202,0,0.0534341512828,0.0534341637619,-1.2479090282e-08,7.23578071722e-07,2.57383575744e-07,4.27985606621e-07,5.39578014647e-09,9.01964322308e-09,0,0,True
B1_xMK_CKKS,B0_Plain_FL,42,20,0.727853637572,0.727853600673,3.68988190003e-08,0.719665271967,0.719665271967,0,0.731073747202,0.731073747202,0,0.0550419139657,0.0550419673143,-5.33485974216e-08,7.82694722036e-07,3.07057892612e-07,8.90996880831e-07,6.71793269618e-09,1.29853312123e-08,0,0,True
T1_Plain_TADP,A1_TADP_admission_only,7,20,0.726834432977,0.726834432977,0,0.721030042918,0.721030042918,0,0.729770053108,0.729770053108,0,0.0457198469858,0.0457198469858,0,0,0,0,0,0,0,0,True
T1_Plain_TADP,A1_TADP_admission_only,11,20,0.726339176079,0.726339176079,0,0.717948717949,0.717948717949,0,0.727073589078,0.727073589078,0,0.0452560078328,0.0452560078328,0,0,0,0,0,0,0,0,True
T1_Plain_TADP,A1_TADP_admission_only,19,20,0.726571716327,0.726571716327,0,0.721030042918,0.721030042918,0,0.729770053108,0.729770053108,0,0.0449971511368,0.0449971511368,0,0,0,0,0,0,0,0,True
T1_Plain_TADP,A1_TADP_admission_only,23,20,0.727166022677,0.727166022677,0,0.714893617021,0.714893617021,0,0.724406671212,0.724406671212,0,0.0454838314508,0.0454838314508,0,0,0,0,0,0,0,0,True
T1_Plain_TADP,A1_TADP_admission_only,42,20,0.726651933404,0.726651933404,0,0.717948717949,0.717948717949,0,0.727073589078,0.727073589078,0,0.0457311305392,0.0457311305392,0,0,0,0,0,0,0,0,True
T2_DF_KS_TADP,T1_Plain_TADP,7,20,0.726834456749,0.726834432977,2.37715082063e-08,0.721030042918,0.721030042918,0,0.729770053108,0.729770053108,0,0.0457198645557,0.0457198469858,1.75698739308e-08,1.71675816611e-06,9.85742747872e-07,9.48507590619e-07,1.19911063314e-08,1.97528184238e-08,0,0,True
T2_DF_KS_TADP,T1_Plain_TADP,11,20,0.726339176079,0.726339176079,0,0.717948717949,0.717948717949,0,0.727073589078,0.727073589078,0,0.0452560344073,0.0452560078328,2.65745199388e-08,1.95875863122e-06,1.14951224095e-06,1.20390235197e-06,1.54922401579e-08,2.51591194654e-08,0,0,True
T2_DF_KS_TADP,T1_Plain_TADP,19,20,0.726571717694,0.726571716327,1.36658073746e-09,0.721030042918,0.721030042918,0,0.729770053108,0.729770053108,0,0.0449971726915,0.0449971511368,2.15546636581e-08,1.52072177075e-06,8.59064245518e-07,1.34413490716e-06,1.04470712184e-08,1.77679188234e-08,0,0,True
T2_DF_KS_TADP,T1_Plain_TADP,23,20,0.72716602218,0.727166022677,-4.97501928542e-10,0.714893617021,0.714893617021,0,0.724406671212,0.724406671212,0,0.0454839639164,0.0454838314508,1.32465611175e-07,1.86405163708e-06,1.12226608273e-06,1.23501760407e-06,1.39894181111e-08,2.36265635832e-08,0,0,True
T2_DF_KS_TADP,T1_Plain_TADP,42,20,0.726651933404,0.726651933404,0,0.717948717949,0.717948717949,0,0.727073589078,0.727073589078,0,0.0457312151187,0.0457311305392,8.4579461046e-08,1.53043231095e-06,8.27209395151e-07,2.02563556684e-06,8.12104752461e-09,3.30588823981e-08,0,0,True
T3_XMK_CKKS_TADP,T1_Plain_TADP,7,20,0.726834432977,0.726834432977,0,0.721030042918,0.721030042918,0,0.729770053108,0.729770053108,0,0.045719821482,0.0457198469858,-2.55038577895e-08,6.98103775396e-07,2.97789652173e-07,5.03532223362e-07,5.00387604564e-09,9.08155609268e-09,0,0,True
T3_XMK_CKKS_TADP,T1_Plain_TADP,11,20,0.726339176079,0.726339176079,0,0.717948717949,0.717948717949,0,0.727073589078,0.727073589078,0,0.0452559795441,0.0452560078328,-2.82886721339e-08,8.82101420494e-07,4.26693787622e-07,1.26166336577e-06,4.82673016969e-09,1.25414323093e-08,0,0,True
T3_XMK_CKKS_TADP,T1_Plain_TADP,19,20,0.726571712013,0.726571716327,-4.31383706534e-09,0.721030042918,0.721030042918,0,0.729770053108,0.729770053108,0,0.0449971602001,0.0449971511368,9.0633280464e-09,6.26509300991e-07,3.27327949634e-07,9.17022834557e-07,4.74479693243e-09,8.17583622398e-09,0,0,True
T3_XMK_CKKS_TADP,T1_Plain_TADP,23,20,0.72716602218,0.727166022677,-4.97501928542e-10,0.714893617021,0.714893617021,0,0.724406671212,0.724406671212,0,0.0454838768632,0.0454838314508,4.54124495092e-08,7.33383625911e-07,3.47784643362e-07,8.94963334441e-07,5.38294448742e-09,1.26599730939e-08,0,0,True
T3_XMK_CKKS_TADP,T1_Plain_TADP,42,20,0.726651933404,0.726651933404,0,0.717948717949,0.717948717949,0,0.727073589078,0.727073589078,0,0.0457311854814,0.0457311305392,5.49421756701e-08,6.61789162937e-07,2.54428927895e-07,6.714660018e-07,4.84373105065e-09,1.04977666926e-08,0,0,True
